site,b_r,bag,number,outplant_time,tin_mass,wet_mass,dry_whole,dry_tissue,shell_length,shell_thick_bottom
D,r,1,1,15.85714286,1.251,12.642,7.384,1.913,62.89,1.14
D,r,1,2,15.85714286,1.007,9.715,5.626,1.529,39.69,1.29
D,r,1,3,15.85714286,1.037,18.261,9.796,2.259,52.16,1.64
D,r,1,4,15.85714286,0.995,13.299,7.172,1.974,45.35,1.38
D,r,1,5,15.85714286,0.98,7.967,5.175,1.57,34.54,1.28
D,r,1,6,15.85714286,1.011,14.132,7.716,1.725,61.14,1.24
D,r,1,7,15.85714286,1.022,12.512,7.306,2.049,52.28,1.18
D,r,1,8,15.85714286,1.009,13.644,8.207,1.763,43.66,1.49
D,r,1,9,15.85714286,1.019,20.022,10.29,2.365,64.99,1.38
D,r,1,10,15.85714286,1.016,11.403,7.155,1.825,52.01,1.48
D,r,2,1,15.85714286,1.013,9.202,5.654,1.586,44.54,1.28
D,r,2,2,15.85714286,1.273,14.88,8.867,2.181,51.98,1.35
D,r,2,3,15.85714286,0.958,8.816,5.947,1.522,38.81,1.67
D,r,2,4,15.85714286,1.03,20.605,10.881,2.533,58.52,1.62
D,r,2,5,15.85714286,0.989,14.392,8.342,1.911,68.65,1.51
D,r,2,6,15.85714286,0.976,9.761,6.336,1.643,45.37,0.95
D,r,2,7,15.85714286,1.03,18.011,11.101,2.202,64.07,1.7
D,r,2,8,15.85714286,0.98,7.577,4.985,1.475,45.45,1.69
D,r,2,9,15.85714286,0.972,14.604,8.088,1.69,60.87,1
D,r,2,10,15.85714286,1.007,11.1,6.801,1.628,51.18,1.07
D,r,3,1,15.85714286,1.243,17.777,10.71,2.418,50.65,1.42
D,r,3,2,15.85714286,1.007,12.98,7.927,1.792,63.23,1.5
D,r,3,3,15.85714286,1.266,8.925,6.223,1.83,39.21,1.49
D,r,3,4,15.85714286,1.023,14.236,8.194,2.013,62.72,1.13
D,r,3,5,15.85714286,1.018,9.904,6.827,1.833,48.11,1.37
D,r,3,6,15.85714286,1.004,8.319,5.526,1.552,44.84,1.39
D,r,3,7,15.85714286,1.018,12.764,8.134,1.89,48.83,1.51
D,r,3,8,15.85714286,1.027,9.888,6.252,1.678,51.64,1.19
D,r,3,9,15.85714286,1.01,11.489,7.573,1.794,51.45,1.39
D,r,3,10,15.85714286,1.01,8.519,5.856,1.485,56.46,0.96
D,r,4,1,15.85714286,1.258,15.406,8.277,2.166,61.78,1.22
D,r,4,2,15.85714286,0.99,10.406,6.226,1.507,48.03,1.35
D,r,4,3,15.85714286,1.002,10.263,6.355,1.703,51.83,2.01
D,r,4,4,15.85714286,1.031,10.716,6.848,1.7,47.83,1.37
D,r,4,5,15.85714286,1.269,18.903,10.517,2.5,71.19,0.94
D,r,4,6,15.85714286,1.023,9.442,6.625,1.851,52.46,1.1
D,r,4,7,15.85714286,1.032,20.407,9.874,2.284,64.1,0.99
D,r,4,8,15.85714286,1.021,17.488,10.663,2.319,61.2,1.64
D,r,4,9,15.85714286,1.003,9.136,6.333,1.821,47.48,1.77
D,r,4,10,15.85714286,1.002,19.586,10.378,2.385,64.32,1.14
D,r,5,1,15.85714286,1.003,13.163,7.48,1.75,55.05,1.47
D,r,5,2,15.85714286,0.999,9.792,6.195,1.496,43.81,1.6
D,r,5,3,15.85714286,0.992,17.878,9.982,2.236,64,0.91
D,r,5,4,15.85714286,1.018,13.209,7.026,1.703,47.76,1.29
D,r,5,5,15.85714286,1.021,18.771,10.235,2.067,63.84,1.49
D,r,5,6,15.85714286,1.004,15.884,7.952,2.055,56.87,1.2
D,r,5,7,15.85714286,0.99,11.393,6.937,1.723,45.19,2.01
D,r,5,8,15.85714286,1.287,11.113,7.214,2.307,45.56,1.4
D,r,5,9,15.85714286,1.018,20.176,10.644,2.322,50,1.19
D,r,5,10,15.85714286,1.297,11.877,8.024,2.007,51.09,1.33
D,b,1,1,15.85714286,0.995,11.836,7.08,1.456,58.18,1.15
D,b,1,2,15.85714286,0.999,9.2,5.806,1.259,42.36,1.12
D,b,1,3,15.85714286,1.013,5.56,3.884,1.154,41.17,1.21
D,b,1,4,15.85714286,0.988,5.933,3.748,1.179,42.91,0.99
D,b,1,5,15.85714286,1,8.328,4.727,1.245,55.53,1.34
D,b,1,6,15.85714286,0.996,8.644,5.918,1.333,43.38,1.27
D,b,1,7,15.85714286,1.004,13.393,8.32,1.592,65.15,1.35
D,b,1,8,15.85714286,1.006,7.38,4.561,1.217,40.28,1.38
D,b,1,9,15.85714286,1.015,4.116,2.911,1.13,30.46,0.99
D,b,1,10,15.85714286,1.031,9.644,5.873,1.41,53.44,1.24
D,b,2,1,15.85714286,1.003,7.145,4.923,1.238,44.89,1.12
D,b,2,2,15.85714286,1.01,7.25,4.812,1.271,40.71,1.3
D,b,2,3,15.85714286,1,9.414,5.884,1.333,47.37,0.94
D,b,2,4,15.85714286,0.995,9.234,5.469,1.351,50.75,1.36
D,b,2,5,15.85714286,1.038,8.181,5.262,1.315,47.78,0.87
D,b,2,6,15.85714286,1.02,10.303,6.774,1.469,48.74,1.56
D,b,2,7,15.85714286,1.014,8.376,5.771,1.278,56.22,1.43
D,b,2,8,15.85714286,1.028,4.624,3.479,1.162,33.13,1.01
D,b,2,9,15.85714286,1.04,5.903,3.668,1.241,41.36,1.1
D,b,2,10,15.85714286,1.018,6.44,4.267,1.17,36.38,1.3
D,b,3,1,15.85714286,1.005,12.584,7.466,1.365,53.56,1.08
D,b,3,2,15.85714286,0.995,12.813,6.645,1.31,59.46,1.13
D,b,3,3,15.85714286,0.998,10.342,5.799,1.358,50.97,1.44
D,b,3,4,15.85714286,1.02,12.623,7.071,1.437,55.14,1.24
D,b,3,5,15.85714286,0.998,7.556,4.595,1.221,45.23,1.21
D,b,3,6,15.85714286,1.014,6.589,3.973,1.242,38.52,0.96
D,b,3,7,15.85714286,1.239,9.151,5.819,1.555,46.24,1.3
D,b,3,8,15.85714286,1.24,11.072,6.307,1.603,49.9,1.31
D,b,3,9,15.85714286,1.024,8.613,5.006,1.273,49.37,1.24
D,b,3,10,15.85714286,1.014,8.063,5.666,1.265,42.18,1.39
D,b,4,1,15.85714286,1.27,5.166,3.558,1.363,35.12,0.92
D,b,4,2,15.85714286,0.992,9.636,5.826,1.332,39.52,1.32
D,b,4,3,15.85714286,0.998,7.105,4.708,1.249,49.87,1.28
D,b,4,4,15.85714286,1.24,8.84,5.544,1.492,48.35,1.25
D,b,4,5,15.85714286,1.023,11.847,6.613,1.499,54.3,1.1
D,b,4,6,15.85714286,1.004,10.316,7.163,1.366,61.57,1.2
D,b,4,7,15.85714286,0.984,12.523,9.138,1.714,56.98,1.02
D,b,4,8,15.85714286,0.988,15.377,6.362,1.379,61.43,1.26
D,b,4,9,15.85714286,1.003,9.642,7.323,1.588,50.07,1.37
D,b,4,10,15.85714286,1.005,12.995,6.927,1.383,57.57,1.55
D,b,5,1,15.85714286,1.25,5.737,3.87,1.361,36.5,0.86
D,b,5,2,15.85714286,1.007,9.961,6.012,1.374,51.71,1.45
D,b,5,3,15.85714286,1.01,13.657,7.943,1.509,53.2,1.19
D,b,5,4,15.85714286,0.983,10.847,6.678,1.463,48.86,1.02
D,b,5,5,15.85714286,1.012,12.867,7.223,1.445,57.19,1.64
D,b,5,6,15.85714286,0.994,10.657,3.763,1.158,38.21,1.1
D,b,5,7,15.85714286,1.002,6.086,6.209,1.339,52.37,1.04
D,b,5,8,15.85714286,1.026,9.817,6.482,1.472,50.86,1.29
D,b,5,9,15.85714286,1.013,9.456,5.778,1.385,46.58,1.24
D,b,5,10,15.85714286,1.002,10.392,6.501,1.369,60.48,1.02
E,b,1,1,15.85714286,1.036,8.497,5.531,1.433,37.76,1.39
E,b,1,2,15.85714286,1.009,9.233,6.675,1.447,47.53,0.99
E,b,1,3,15.85714286,1.012,12.819,8.481,1.704,42.92,1.03
E,b,1,4,15.85714286,1.254,9.305,6.21,1.712,44.44,0.91
E,b,1,5,15.85714286,1.06,7.895,5.477,1.438,38.89,0.78
E,b,1,6,15.85714286,1.019,10.243,6.801,1.553,51.04,1.21
E,b,1,7,15.85714286,0.977,6.299,4.469,1.536,39.58,1.21
E,b,1,8,15.85714286,0.996,5.414,3.607,1.131,37.37,0.97
E,b,1,9,15.85714286,1.033,7.5,4.833,1.279,45.06,1.14
E,b,1,10,15.85714286,1.031,5.933,4.069,1.214,35.41,1.3
E,b,2,1,15.85714286,1.028,6.321,4.826,1.258,37.28,1.09
E,b,2,2,15.85714286,1.256,7.373,5.499,1.529,36.05,1.23
E,b,2,3,15.85714286,1.259,5.329,3.891,1.435,32.64,1.12
E,b,2,4,15.85714286,1.259,7.057,5.078,1.557,41.15,1.08
E,b,2,5,15.85714286,1.004,8.09,5.613,1.38,41.24,1.24
E,b,2,6,15.85714286,1.046,7.013,4.978,1.328,41.01,1.11
E,b,2,7,15.85714286,1.236,6.151,4.598,1.487,40.15,1.06
E,b,2,8,15.85714286,1.274,5.334,4.128,1.438,37.39,1.04
E,b,2,9,15.85714286,1.286,7.419,5.456,1.583,41.25,1.49
E,b,2,10,15.85714286,1.263,5.515,4.02,1.485,43.79,1.22
E,b,3,1,15.85714286,0.964,7.672,5.074,1.287,43.24,0.87
E,b,3,2,15.85714286,1.011,11.349,7.588,1.551,54.14,1
E,b,3,3,15.85714286,1.008,6.506,4.682,1.217,38.17,1.15
E,b,3,4,15.85714286,1.029,11.756,7.392,1.687,59.14,1.27
E,b,3,5,15.85714286,0.99,6.758,4.596,1.248,42.98,0.92
E,b,3,6,15.85714286,1.023,9.633,6.544,1.377,48.75,0.94
E,b,3,7,15.85714286,1.241,10.605,7.296,1.675,43.35,1.41
E,b,3,8,15.85714286,1.273,5.819,4.268,1.483,37.55,1.2
E,b,3,9,15.85714286,0.965,7.384,4.92,1.261,44,1.32
E,b,3,10,15.85714286,1.027,11.195,7.065,1.446,50.63,1.21
E,b,4,1,15.85714286,1.024,8.978,6.351,1.421,45.4,1.22
E,b,4,2,15.85714286,1.027,7.682,5.495,1.38,43.84,1.2
E,b,4,3,15.85714286,1.234,12.071,8.42,1.768,49.28,1.35
E,b,4,4,15.85714286,1.237,10.089,7.001,1.694,46.79,1.52
E,b,4,5,15.85714286,0.999,9.618,6.481,1.522,44.63,1.65
E,b,4,6,15.85714286,1.026,7.242,4.873,1.373,40.55,1.31
E,b,4,7,15.85714286,1.256,9.352,6.585,1.656,46.52,1.33
E,b,4,8,15.85714286,1.017,5.785,4.299,1.343,33.99,1.26
E,b,4,9,15.85714286,1.258,4.635,3.409,1.384,28.39,1.18
E,b,4,10,15.85714286,1.239,9.17,6.283,1.688,43.46,1.21
E,b,5,1,15.85714286,1.244,12.112,7.488,1.743,52.26,1.18
E,b,5,2,15.85714286,1.26,9.062,6.377,1.578,48.94,1.17
E,b,5,3,15.85714286,1.274,7.768,5.133,1.599,45.47,1.23
E,b,5,4,15.85714286,1.263,10.857,7.265,1.708,46.06,1.29
E,b,5,5,15.85714286,0.967,8.31,6.039,1.326,46.24,1.22
E,b,5,6,15.85714286,1.245,9.187,6.652,1.607,45.37,1.56
E,b,5,7,15.85714286,0.979,7.352,5.062,1.288,47.08,1.31
E,b,5,8,15.85714286,1.019,5.755,4.059,1.258,39.39,1.18
E,b,5,9,15.85714286,1.016,6.634,4.876,1.349,43.09,1.03
E,b,5,10,15.85714286,1.245,9.604,6.86,1.712,45.16,1.33
E,r,1,1,15.85714286,1.012,7.582,6.246,1.647,44.28,1.4
E,r,1,2,15.85714286,0.96,17.581,9.941,2.216,53.36,1.51
E,r,1,3,15.85714286,1.026,17.108,9.504,2.169,55.18,1.53
E,r,1,4,15.85714286,0.973,13.118,7.523,2.051,51.51,1.56
E,r,1,5,15.85714286,0.994,19.227,10.061,2.475,49.72,1.71
E,r,1,6,15.85714286,1.031,17.275,9.772,2.537,49.51,1.36
E,r,1,7,15.85714286,1.025,12.276,7.999,2.04,58,1.58
E,r,1,8,15.85714286,1.014,13.225,7.954,1.98,48.88,1.55
E,r,1,9,15.85714286,1.023,17.52,10.98,2.496,55.65,1.18
E,r,1,10,15.85714286,1.004,11.746,7.202,1.913,47.11,1.49
E,r,2,1,15.85714286,1.006,19.064,10.225,2.33,61.64,1.29
E,r,2,2,15.85714286,1.262,14.979,9.611,2.091,59.78,1.73
E,r,2,3,15.85714286,0.985,10.981,6.459,1.696,47.52,1.44
E,r,2,4,15.85714286,1.018,7.127,4.424,1.503,41.84,1.45
E,r,2,5,15.85714286,0.997,10.401,6.941,1.634,46.67,1.79
E,r,2,6,15.85714286,0.971,14.514,8.932,2.117,68.66,1.68
E,r,2,7,15.85714286,1.033,13.96,8.676,2.092,64.57,1.91
E,r,2,8,15.85714286,1.245,10.973,7.541,2.01,54.13,1.18
E,r,2,9,15.85714286,1.034,11.014,6.784,1.556,44.65,1.08
E,r,2,10,15.85714286,1.265,11.012,6.503,1.858,35.85,1.18
E,r,3,1,15.85714286,1.004,17.018,8.532,2.113,53.78,1.02
E,r,3,2,15.85714286,1.024,13.131,7.449,1.863,53.74,1.51
E,r,3,3,15.85714286,1,10.898,6.699,1.861,41.92,1.22
E,r,3,4,15.85714286,0.994,14.914,9.398,1.978,50.99,1.32
E,r,3,5,15.85714286,1.011,15.8,10.246,2.257,57.85,1.35
E,r,3,6,15.85714286,0.987,13.749,7.259,1.729,47.18,1.41
E,r,3,7,15.85714286,1.276,14.714,9.396,2.283,55.48,1.39
E,r,3,8,15.85714286,1.273,14.864,7.643,1.961,54.8,1.53
E,r,3,9,15.85714286,0.997,12.9,8.475,2.198,53.24,1.4
E,r,3,10,15.85714286,1.017,15.065,9.355,2.21,51.58,1.44
E,r,4,1,15.85714286,1.266,9.951,6.173,1.908,36.91,1.37
E,r,4,2,15.85714286,1.013,15.999,6.638,1.686,49.61,1.44
E,r,4,3,15.85714286,1.01,18.012,8.65,2.116,48.38,1.5
E,r,4,4,15.85714286,0.987,12.684,10.397,2.161,54.75,1.63
E,r,4,5,15.85714286,1.014,10.555,6.979,1.488,39.65,1.26
E,r,4,6,15.85714286,1.006,15.39,9.442,2.056,58.37,1.74
E,r,4,7,15.85714286,1.016,8.63,6.014,1.488,49.39,1.32
E,r,4,8,15.85714286,1.034,8.666,5.458,1.469,45.72,1.17
E,r,4,9,15.85714286,1.265,13.354,8.072,2.104,51.67,1.54
E,r,4,10,15.85714286,0.996,13.21,7.853,1.927,57.3,1.54
E,r,5,1,15.85714286,1.006,13.764,8.095,1.865,49.48,1.15
E,r,5,2,15.85714286,1.029,16.846,10.148,2.274,66.72,1.57
E,r,5,3,15.85714286,1.269,17.353,9.869,2.076,59.76,1.38
E,r,5,4,15.85714286,1.06,21.81,11.257,2.4,60.53,1.46
E,r,5,5,15.85714286,1.014,11.91,7.267,1.97,45.43,1.46
E,r,5,6,15.85714286,1.002,11.063,6.367,1.688,47.07,1.38
E,r,5,7,15.85714286,1.027,8.686,5.496,1.622,45.81,1.42
E,r,5,8,15.85714286,1.007,21.888,11.312,2.454,53.8,1.29
E,r,5,9,15.85714286,1.261,11.42,6.955,1.869,41.01,1.57
E,r,5,10,15.85714286,1.025,8.792,5.809,1.585,35.58,1.39
C,b,1,1,16.14285714,1.279,12.779,7.056,1.572,45.5,1.38
C,b,1,2,16.14285714,1.272,10.103,6.31,1.435,53.63,1.04
C,b,1,3,16.14285714,1.272,8.513,4.975,1.428,48.28,1.05
C,b,1,4,16.14285714,1.273,12.894,7.775,1.592,56.04,0.92
C,b,1,5,16.14285714,1.269,7.798,5.398,1.411,47.58,0.95
C,b,1,6,16.14285714,1.266,6.988,4.376,1.352,38.8,1.01
C,b,1,7,16.14285714,1.264,4.246,3.143,1.339,30.91,1.14
C,b,1,8,16.14285714,1.274,4.547,3.048,1.337,28.62,1
C,b,1,9,16.14285714,1.269,3.971,2.902,1.344,29.93,1.01
C,b,1,10,16.14285714,1.02,8.511,5.003,1.206,58.37,1.04
C,b,2,1,16.14285714,1.258,17.213,9.616,1.731,58.51,1.52
C,b,2,2,16.14285714,1.282,14.58,7.577,1.642,61.28,1.21
C,b,2,3,16.14285714,1.264,6.046,3.998,1.377,38.9,1.01
C,b,2,4,16.14285714,1.262,4.467,3.085,1.341,35.98,0.89
C,b,2,5,16.14285714,1.274,4.596,3.354,1.335,35.87,0.96
C,b,2,6,16.14285714,1.248,6.389,4.101,1.345,45.68,0.8
C,b,2,7,16.14285714,1.261,5.88,3.65,1.346,35.07,1.1
C,b,2,8,16.14285714,1.262,9.052,6.18,1.431,52.06,1.17
C,b,2,9,16.14285714,1.25,7.615,5.264,1.392,49.72,0.97
C,b,2,10,16.14285714,1.268,11.214,6.064,1.474,67.92,1.1
C,b,3,1,16.14285714,1.263,10.639,6.435,1.505,49.35,1.47
C,b,3,2,16.14285714,1.264,6.433,4.334,1.356,40.64,0.98
C,b,3,3,16.14285714,0.996,4.585,3.148,1.062,35.9,0.9
C,b,3,4,16.14285714,1.262,9.44,5.576,1.423,56.17,1.02
C,b,3,5,16.14285714,1.031,6.349,3.848,1.123,40.93,1.17
C,b,3,6,16.14285714,1.263,8.345,5.144,1.401,38.99,0.98
C,b,3,7,16.14285714,1.278,5.778,4.314,1.398,39.78,1.15
C,b,3,8,16.14285714,1.265,9.968,6.197,1.463,55.33,1.2
C,b,3,9,16.14285714,1.256,10.708,6.2,1.421,51.51,1.12
C,b,3,10,16.14285714,1.267,9.204,6.497,1.56,44.53,1.02
C,b,4,1,16.14285714,1.257,10.025,5.806,1.436,51.71,1.22
C,b,4,2,16.14285714,1.259,4.028,2.966,1.317,33.41,1
C,b,4,3,16.14285714,1.251,5.59,3.802,1.35,50.9,1.08
C,b,4,4,16.14285714,1.253,9.71,5.804,1.399,52.48,1.2
C,b,4,5,16.14285714,1.265,3.854,2.944,1.317,30.53,0.93
C,b,4,6,16.14285714,1.286,6.806,4.26,1.41,48.2,0.9
C,b,4,7,16.14285714,1.273,6.083,4.434,1.367,39.48,1.03
C,b,4,8,16.14285714,1.28,5.881,3.795,1.382,37.77,0.91
C,b,4,9,16.14285714,1.27,5.806,4.19,1.384,39.92,1.16
C,b,4,10,16.14285714,1.279,7.685,4.603,1.463,44.58,1.18
C,b,5,1,16.14285714,1.271,7.788,4.761,1.424,44.39,1.16
C,b,5,2,16.14285714,1.25,6.237,4.179,1.356,44.51,1.01
C,b,5,3,16.14285714,1.274,12.716,7.023,1.485,52.94,1.36
C,b,5,4,16.14285714,1.254,5.653,3.826,1.368,35.72,1.16
