outplant_time,oyster_number,whole_mass,shell_length,shell_mass,tissue_mass,shell_depth,shell_thickness_bottom,shell_thick_top,shell_area_top,shell_area_bottom
0,1,1.7374,25.61,0.8727,0.0658,7.45,0.8,0.8,274.783,317.364
0,2,2.317,25.89,1.4054,0.0923,7.75,0.92,0.85,207.789,301.427
0,3,1.6098,25.2,0.994,0.0584,5.39,0.55,0.88,232.939,271.446
0,4,1.527,23.12,0.96,0.0524,6.72,0.71,0.57,239.558,270.895
0,5,2.197,20.26,1.2917,0.0755,5.78,0.62,0.18,216.671,256.78
0,6,1.3148,34.78,0.786,0.0535,7.98,1.03,0.46,331.985,460.158
0,7,1.6586,28.52,1.0496,0.0669,6.79,0.87,0.58,321.951,354.491
0,8,1.3499,27.98,0.7533,0.0545,8.78,0.94,0.61,274.23,320.683
0,9,1.3258,26.2,0.8495,0.0453,6.52,0.96,0.84,238.298,267.773
0,10,1.7462,23.44,1.0147,0.07,6.22,0.66,0.61,231.563,302.855
0,11,1.7158,29.31,0.9994,0.0512,6.8,0.69,0.64,294.972,369.626
0,12,1.6746,25.19,0.9567,0.0611,7.11,0.94,0.78,206.112,287.656
0,13,1.487,24.72,0.9164,0.0542,6.72,0.81,0.49,287.988,334.373
0,14,1.5961,26.07,0.9704,0.0519,7.48,0.95,0.78,306.959,407.203
0,15,1.4099,21.3,0.8155,0.0505,6.29,0.85,0.73,206.003,248.764
0,16,1.906,31.19,1.1265,0.0713,6.59,0.83,0.49,340.446,427.267
0,17,2.2031,24.08,1.2436,0.0851,6.75,0.87,0.77,198.195,254.707
0,18,1.8816,22.26,1.0663,0.079,7.67,0.64,0.55,190.349,270.913
0,19,1.5541,25.18,0.9349,0.0513,7.45,0.84,0.82,217.679,325.064
0,20,1.4394,24.67,0.7903,0.0577,6.78,0.71,0.39,245.72,311.603
0,21,1.4055,23.9,0.8633,0.0532,6.25,0.75,0.23,278.091,353.643
0,22,1.6945,24.92,0.9956,0.065,6.92,0.81,1.02,241.616,275.122
0,23,1.9256,22.58,1.1684,0.0727,7.16,0.74,0.44,255.619,287.643
0,24,1.4049,21.21,0.8596,0.0492,6.89,0.71,0.82,283.394,296.232
0,25,1.1695,22.26,0.7168,0.0368,6.7,0.75,0.53,279.56,341.94
0,26,1.5559,21.99,0.8294,0.0558,7.06,0.77,0.61,220.678,273.889
0,27,1.5441,24,0.9554,0.0521,7.66,0.74,0.59,255.149,294.472
0,28,1.1988,19.57,0.748,0.039,6.29,0.7,0.67,178.251,223.91
0,29,1.3958,21.22,0.821,0.0523,5.9,0.54,0.48,243.251,282.787
0,30,1.6361,21.83,0.9948,0.0605,6.78,0.85,0.46,254.253,308.233
0,31,1.6006,28.98,1.0217,0.0632,7,1.01,0.86,352.569,396.224
0,32,1.8179,25.39,1.1346,0.0562,6.45,0.97,0.26,367.901,356.865
0,33,1.4824,22.03,0.8899,0.0454,6.68,0.73,0.39,214.467,266.681
0,34,1.1043,23.75,0.6393,0.0394,6.36,0.85,0.79,225.872,269.4
0,35,0.87,27.72,0.512,0.036,6.83,0.68,0.53,227.297,300.44
0,36,1.012,28.64,0.6374,0.0376,7.54,0.95,0.21,308.862,351.799
0,37,1.523,26.05,1.0001,0.0537,7.39,0.7,0.51,295.237,356.202
0,38,1.3999,22,0.9088,0.0541,5.98,0.66,0.93,266.789,282.931
0,39,1.5301,26.4,0.8318,0.0613,6.65,0.79,0.84,285.99,350.846
0,40,1.1025,24.05,0.7089,0.0429,6.85,0.96,0.74,278.28,312.452
0,41,1.9786,27.91,1.2239,0.0747,6.77,0.84,0.38,304.908,409.563
0,42,1.5028,24.46,0.9918,0.0426,6.77,0.7,0.71,257.55,291.524
0,43,1.6552,24.51,1.0547,0.061,6.97,0.75,0.68,323.124,334.441
0,44,1.6546,21.48,1.0836,0.0454,6.86,0.62,0.91,192.179,257.817
0,45,1.2201,23.11,0.8082,0.0365,6.21,0.91,0.47,234.136,278.044
0,46,1.7438,25.54,1.1227,0.0753,5.41,0.7,0.47,293.189,319.897
0,47,1.4203,22.62,0.8474,0.053,6.21,0.72,0.44,270.932,299.128
0,48,1.077,22.8,0.6989,0.0316,5.35,0.73,0.38,264.209,299.092
0,49,1.1222,25.53,0.7295,0.035,6.85,0.8,0.88,280.391,337.265
0,50,1.5961,25.23,1.0149,0.0741,5.82,0.58,0.32,208.675,253.788