"","site","b_r","temp_av","sal_av","av_dmax_t","av_dmin_t","av_dmin_s","tot_dh_t","tot_dh_s","month"
"1","A","b",10.3027661950856,22.3843745438047,13.341724137931,9.48896551724138,13.2368965517241,0,515.4375,2
"2","A","r",9.26146013625483,24.9742754943711,9.97642857142857,8.72053571428571,23.6844642857143,0,0.5725,2
"3","B","b",9.51481163744871,23.0232413278627,13.0562068965517,8.33,5.07310344827586,0,1382.6775,2
"4","B","r",8.89344146159582,25.9812714392245,9.44551724137931,8.59,25.2089655172414,0,0,2
"5","C","b",11.4167750422853,14.5221028317389,10.7686666666667,7.99533333333333,13.9473333333333,0,326.1525,2
"6","C","r",9.31195376584638,25.1933407904549,9.81793103448276,8.98241379310345,24.6596551724138,0,0,2
"7","D","b",10.8756241610738,22.2207582321642,14.0541818181818,9.42381818181818,13.3983636363636,2.7625,1301.5225,2
"8","D","r",10.4381134237159,23.1028184074852,11.7005454545455,9.58181818181818,21.9872727272727,0,1.795,2
"9","E","b",10.635775862069,15.0439560771823,14.022,9.76666666666667,9.60533333333333,4.3225,1768.8825,2
"10","E","r",10.409219138756,20.7839933014354,11.9286046511628,10.033488372093,19.3746511627907,0,315.57,2
"11","A","b",18.9764990859232,23.4193409546407,23.6836842105263,16.7789473684211,12.3242649771824,19.13,912.2875,6
"12","A","r",14.512101316752,24.9230922100363,16.0110526315789,12.7517543859649,24.3540350877193,0,0,6
"13","B","b",18.3614558472554,21.2155966587112,24.5598113207547,15.1709433962264,2.69490566037736,23.885,3408.8575,6
"14","B","r",17.4167507771073,24.4622161272628,18.6391228070175,16.1701754385965,24.1389473684211,0,0,6
"15","C","b",17.4369950648876,20.9486748309267,21.7494736842105,14.9954385964912,8.88263157894737,2.9875,2089.125,6
"16","C","r",17.0149643575215,21.4668421068194,18.08,15.7338596491228,21.0110698211468,0,469.935400463359,6
"17","D","b",17.3689599707549,15.4635600812966,20.0661403508772,15.3435087719298,13.1234882353619,0.00250000000000039,8548.25569880657,6
"18","D","r",16.2386870570683,23.9127527042148,18.0606896551724,14.7262068965517,23.7148275862069,0,0,6
"19","E","b",16.8676165234875,20.7742533357704,21.9824561403509,14.3842105263158,9.52315789473684,17.2625,2317.6525,6
"20","E","r",16.5505760790051,22.825521214338,18.5742105263158,14.5173684210526,22.3842105263158,0,6.015,6
"21","A","b",17.7944873914841,20.5540781096529,23.5611764705882,15.3198039215686,12.8096078431373,22.25,1244.80919319862,4
"22","A","r",13.6949277210884,23.6586330782313,15.1298,11.7902,22.9958,0,0,4
"23","B","b",15.4253741760372,18.381213648701,21.2810714285714,13.3307142857143,3.16071428571429,0.2425,2032.88,4
"24","B","r",16.0736994708995,23.1873142857143,17.0606,14.972,22.645,0,0,4
"25","C","b",17.2572097422559,19.2236206459433,24.0851111111111,14.7911111111111,7.6305161588227,68.245,3395.60957207649,4
"26","C","r",16.3800242718447,22.2308652473066,17.7213461538462,15.3015384615385,21.7401097309936,1.0525,14.3475,4
"27","D","b",17.2754757969303,21.1661416765053,24.4155555555556,14.4671111111111,8.51844444444444,97.8475,1663.625,4
"28","D","r",16.5006296032312,21.8425873129009,17.9857777777778,14.8235555555556,21.4730436953808,0,41.9148408239696,4
"29","E","b",17.0618512396694,19.5858746817257,26.116,14.4422222222222,7.90022222222222,197.0825,2047.51018072289,4
"30","E","r",16.1650554899646,22.9022904368359,17.8962222222222,14.5848888888889,22.4004444444444,0,0,4
"31","A","b",12.5819323979592,25.4919238945578,13.6342857142857,10.5375510204082,16.3263265306122,0,919.8675,8
"32","A","r",11.8515185027648,26.2417396852403,12.3414285714286,11.2391836734694,25.5912244897959,0,0,8
"33","B","b",12.0188475441208,21.7875504996811,14.8202040816327,8.87469387755102,1.41224489795918,0,3121.75,8
"34","B","r",12.2002934297257,26.448292402778,12.619387755102,11.7073469387755,25.9090662247067,0,0,8
"35","C","b",12.0393792517007,17.9601976482674,12.8520408163265,10.4008163265306,12.2720369924674,0,5672.24511936715,8
"36","C","r",11.7820520522767,24.3361664203664,11.8446520828646,11.7178222263628,24.2810989997624,0,0,8
"37","D","b",12.1820535714286,22.7780834529409,12.9548979591837,10.6808163265306,15.2881940245525,0,1839.71913473508,8
"38","D","r",12.2736933871997,24.7404847969381,12.7316326530612,11.774693877551,24.4920408163265,0,0,8
"39","E","b",12.2443027210884,23.3143920068027,13.0514285714286,10.5848979591837,14.4683673469388,0,879.79,8
"40","E","r",12.5640134028295,25.3701067262348,13.213488372093,12,25.1753488372093,0,0,8
"41","A","b",7.56974219711782,21.2464675211818,8.57590277777778,4.76388888888889,7.80006944444444,0,6162.08,12
"42","A","r",8.42102208748376,23.0962833838603,8.66296551724138,8.04634482758621,20.9888965517241,0,297.735,12
"43","B","b",7.30715930485156,21.2357179580014,8.79173611111111,3.14791666666667,1.21034722222222,0,10931.08125,12
"44","B","r",7.76485076810534,25.7873562545721,8.26545454545455,7.10006993006993,24.0334965034965,0,84.045,12
"45","C","b",7.07284432448205,20.0507179157522,7.8248951048951,4.43762237762238,7.49686251167889,0,10684.8010891427,12
"46","C","r",7.2898694559274,25.6945842932807,7.65004689615951,6.87967374952423,25.0673799342076,0,0,12
"47","D","b",7.90249136981271,23.6505655526992,8.72021126760563,5.16225352112676,9.99894366197183,0,4614.795,12
"48","D","r",8.04991248713046,22.9138638035005,8.58007042253521,7.41492957746479,21.6238732394366,0,266.6675,12
"49","E","b",7.79636510619534,21.720755493496,8.56647887323944,4.89147887323944,7.61443661971831,0,5672.72,12
"50","E","r",7.96563438327936,22.2289130114807,8.54485915492958,7.21647887323944,20.6621830985915,0,559.2,12
